,title,nb_videos,short_desc,url,mean_stars,five_stars,four_stars,three_stars,two_stars,one_star,editor,action,adventure,comedy,drama,fantasy,harem,historical,idols,isekai,magical_girls,mecha,music,mystery,post_apocalyptic,romance,sci_fi,seinen,shojo,shonen,slice_of_life,sports,supernatural,thriller
0,A Centaur's Life,12,"Entrer dans l’adolescence n’est jamais facile, surtout quand on est un centaure ! Himeno « Hime » Kimihara est une lycéenne douce et timide qui souhaite s’intégre…",https://www.crunchyroll.com/fr/a-centaurs-life,3.5,21,27,11,14,13,EMON,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
1,A Certain Magical Index,26,"La Cité académique rassemble des étudiants dotés de pouvoirs extrasensoriels. Parmi eux, Tôma a du mal à trouver sa place car il dispose d'un don lui permettant… …",https://www.crunchyroll.com/fr/a-certain-magical-index,3.5,44,31,20,17,15,NBC Universal,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,A Certain Scientific Accelerator,12,"Après avoir sauvé Last Order et pris une balle dans la tête, Accelerator, le plus puissant des êtres dotés de pouvoirs extrasensoriels de la Cité académique, se r…",https://www.crunchyroll.com/fr/a-certain-scientific-accelerator,4.0,33,11,4,6,3,NBC Universal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,A Certain Scientific Railgun,25,La Cité académique rassemble des étudiants dotés de pouvoirs extrasensoriels dont le niveau est évalué sur une échelle de 1 à 5. Mikoto Misaka est l'une des sept …,https://www.crunchyroll.com/fr/a-certain-scientific-railgun,4.5,78,10,3,3,2,NBC Universal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,A Destructive God Sits Next to Me,12,"S'il y a bien une chose que Seri Koyuki déteste plus que tout, c'est que des gens le mêlent à leurs blagues. Aussi fait-il son possible pour éviter ce genre de pe…",https://www.crunchyroll.com/fr/a-destructive-god-sits-next-to-me,4.0,30,8,7,3,5,Yomiuri Telecasting Corporation (YTV),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,A Place Further Than the Universe,13,"Notre premier pas est toujours guidé par la curiosité. Découvrir ce qu’on a jamais vu, jamais entendu, jamais touché ou jamais senti. C’est l’histoire de quatre f…",https://www.crunchyroll.com/fr/a-place-further-than-the-universe,5.0,265,11,2,1,2,Kadokawa Pictures Inc.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
6,ABCiee Working Diary,12,"ABCiee est un peu maladroit, mais il est motivé car il entame un job de rêve au sein d'une chaîne de télévision ! Il n'est pourtant pas au bout de ses surprises :…",https://www.crunchyroll.com/fr/abciee-working-diary,4.0,2,1,0,0,1,ABC Asahi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,Absolute Duo,12,"À l’académie Koryo, on enseigne des techniques de combats à ceux qui sont nés avec certaines aptitudes appelées « Blaze ». Il s’agit d’une arme créée en matériali…",https://www.crunchyroll.com/fr/absolute-duo,3.5,9,10,5,3,3,Media Factory,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,Ace Attorney,47,"Phoenix Wright est un jeune avocat qui arrive toujours à faire éclater la vérité au cours des plaidoiries qu’il mène. Porté par ses propres convictions, il est ai…",https://www.crunchyroll.com/fr/ace-attorney,4.0,68,29,14,16,19,Yomiuri Telecasting Corporation (YTV),0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9,Ace of Diamond,178,"L'équipe de baseball du collège Takagi termine sa saison sans une seule victoire. Son lanceur, Eijun Sawamura, a à coeur de prendre sa revanche avec ses coéquipie…",https://www.crunchyroll.com/fr/ace-of-the-diamond,4.5,200,25,8,7,6,TV TOKYO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
10,Active Raid,24,"Une partie de Tokyo est devenue une zone de non-droit. Pour remettre de l’ordre dans ces quartiers, une brigade spéciale est chargée d’intervenir : l’unité 8 de l…",https://www.crunchyroll.com/fr/active-raid,2.5,4,17,8,9,17,Sotsu,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
11,Adachi and Shimamura,48,"Connues pour sécher régulièrement les cours, deux jeunes filles nommées Adachi et Shimamura voient leur vie s’entrelacer lorsqu’elles se croisent au deuxième étag…",https://www.crunchyroll.com/fr/adachi-and-shimamura,5.0,1,0,0,0,0,PONY CANYON INC.,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
12,Ahiru no Sora,50,"Il n'est peut-être pas très grand, mais Sora Kurumatani est si rapide qu'il parvient à marquer des paniers sur un terrain de basket ! Cette passion pour ce sport,…",https://www.crunchyroll.com/fr/ahiru-no-sora,4.0,92,13,11,7,13,Kodansha Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
13,Aho Girl,12,"Yoshiko Hanabatake est une jeune fille qui n’est pas très douée, et pas seulement pour les études. Certains la qualifient même de parfaite idiote ! Elle adore son…",https://www.crunchyroll.com/fr/aho-girl,4.0,82,24,12,7,8,ADK,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14,Ai-Mai-Mi,13,"Ai, Mai, Mi et leur maître Ponoka veulent combattre des envahisseurs menaçant la Terre. Mais pour cela, les trois jeunes filles doivent d’abord affronter d’autres…",https://www.crunchyroll.com/fr/ai-mai-mi,3.5,19,5,5,7,7,Takeshobo,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15,Ai-Mai-Mi Môsô Catastrophe,12,"Ai, Mai, Mi et leur maître Ponoka veulent combattre des envahisseurs menaçant la Terre. Mais pour cela, les trois jeunes filles doivent d'abord affronter d'autres…",https://www.crunchyroll.com/fr/ai-mai-mi-mousou-catastrophe,4.0,3,3,1,0,1,Seven,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
16,Ai-Mai-Mi Surgical Friends,12,"Les filles du club de mangas ont une imagination débordante pour écrire des histoires, mais n’ont pas intégré les valeurs de ce qu’est un travail. …",https://www.crunchyroll.com/fr/ai-mai-mi-surgical-friends,4.0,4,0,2,0,1,Seven,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17,Air Master,27,"Ancienne gymnaste, Maki Aikawa s'est tournée vers une autre discipline : le combat de rue. La seule chose qui lui donne vraiment envie de vivre, c'est d'affronter…",https://www.crunchyroll.com/fr/air-master,4.5,705,148,70,11,43,Toei Animation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18,Akashic Records of Bastard Magic Instructor,36,Sistine fréquente une école de magie pour améliorer ses performances dans l’espoir de résoudre la fameuse énigme du Château céleste de Mergalius. Mais son profess…,https://www.crunchyroll.com/fr/akashic-records-of-bastard-magic-instructor,4.0,168,73,47,14,13,Kadokawa Pictures Inc.,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Akebi's Sailor Uniform,9,Akebi Komichi a été admise dans un prestigieux collège pour filles. Elle a deux souhaits pour l'année scolaire : porter l'uniforme de marin de l'école et se lier …,https://www.crunchyroll.com/fr/akebis-sailor-uniform,5.0,6,0,0,0,0,Aniplex of America,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Akudama Drive,36,…,https://www.crunchyroll.com/fr/akudama-drive,5.0,1,0,0,0,0,"Pierrot Co., Ltd.",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Alderamin on the Sky,13,"L’empire de Katjvarna est en guerre contre un pays voisin, la république de Kioka. Ikta Solork déteste la guerre, mais il passe un examen pour devenir officier af…",https://www.crunchyroll.com/fr/alderamin-on-the-sky,4.5,131,38,12,4,3,Warner Japan,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,ALDNOAH.ZERO,25,"L'histoire nous entraîne au milieu une guerre ayant lieu en plein Système solaire. Tout commence lorsqu'en 1972, les membres d'Apollo 17, la dernière mission envo…",https://www.crunchyroll.com/fr/aldnoahzero,4.0,202,91,65,33,22,Aniplex of America,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
23,Alice & Zôroku,13,"Des enfants, les « Rêves d'Alice », possèdent un mystérieux pouvoir qui leur permet de défier les lois de la physique. Cependant, ils vivent confinés dans un labo…",https://www.crunchyroll.com/fr/alice-zoroku,4.5,35,11,3,3,1,Bandai Visual,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
24,Amaama to Inazuma,12,"Depuis la mort de sa femme, un jeune enseignant s’occupe seul de sa petite fille, Tsumugi. N’étant pas un adepte de la cuisine, il se contente bien souvent d’ache…",https://www.crunchyroll.com/fr/sweetness-lightning,4.5,108,22,3,2,2,Sumitomo Corporation,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
25,AMAZING STRANGER,12,"Haruto est un otaku qui ne s'intéresse pas aux (vraies) filles en 3D ! Un jour, sa dernière acquisition, une figurine de son héroïne préférée Nona, se met à bouge…",https://www.crunchyroll.com/fr/amazing-stranger,4.0,6,6,1,0,3,Seven,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26,Ange Vierge,12,"Un jour, cinq mondes devinrent liés : le monde bleu (le nôtre, la Terre), le monde noir (régi par la nuit et la magie), le monde rouge (protégé par les prières et…",https://www.crunchyroll.com/fr/ange-vierge,2.5,12,3,6,6,17,Kadokawa Pictures Inc.,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
27,Angels of Death,16,"Lorsque Rachel se réveille dans le sous-sol d'un immeuble abandonné, elle ne comprend pas comment elle est arrivée là. Tandis qu'elle cherche une sortie, elle tom…",https://www.crunchyroll.com/fr/angels-of-death,4.0,105,36,30,24,22,Kadokawa Pictures Inc.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
28,Angolmois: Record of Mongol Invasion,12,"En l'an 1274, les Mongols ont des vues sur le Japon qu'ils s'apprêtent à envahir. Jinzaburô Kuchii est un samouraï exilé sur l'île de Tsushima. Il se retrouve seu…",https://www.crunchyroll.com/fr/angolmois-record-of-mongol-invasion,4.5,34,12,2,1,0,Kadokawa Pictures Inc.,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Anima Yell!,12,"Depuis qu'elle est au collège, Kohane Hatogaya se passionne pour les cheerleaders. Lorsqu'elle entre au lycée, elle monte un club de pom-pom girls aux côtés de se…",https://www.crunchyroll.com/fr/anima-yell,4.5,10,7,0,1,0,Toho,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
30,Anime Awards 2021 par Crunchyroll,1,"Bienvenue au Anime Awards 2021 par Crunchyroll ! Chaque année, nous récompensons les meilleurs des anime avec des millions de fans du monde entier. À partir du vo…",https://www.crunchyroll.com/fr/the-crunchyroll-anime-awards,3.0,1,0,0,0,1,crunchyroll,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
31,Anime AzurLane: Slow Ahead!,12,"Pour protéger le monde des attaques de créatures marines surnaturelles, un escadron de jeunes filles est déployé sous la forme de navires de guerre de l'histoire …",https://www.crunchyroll.com/fr/anime-azurlane-slow-ahead,4.5,14,1,1,1,0,Yostar Inc.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Anime Crimes Division,6,"Dans la ville de Néo Otaku, il y a deux sortes de personnes : celles qui sont capables de réciter par cœur les paroles du générique de Sailor Moon en japonais et …",https://www.crunchyroll.com/fr/anime-crimes-division,4.5,36,3,0,0,7,crunchyroll,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
33,Anime de Training! EX,24,"Six jeunes filles qui veulent devenir des idoles s’entraînent à travers des exercices que vous pouvez suivre et réaliser avec elles ! Étirements, danse, yoga, str…",https://www.crunchyroll.com/fr/anime-de-training-ex,4.0,13,1,8,1,3,Earth Star Entertainment,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34,Anime de Wakaru Shinryônaika,20,"Nous suivons la vie quotidienne du cabinet d’un psychiatre, le docteur Ryô Shinnai, assisté de sa charmante infirmière, Asuna Kangoshi. Chaque épisode repose sur …",https://www.crunchyroll.com/fr/comical-psychosomatic-medicine,4.0,13,12,5,1,1,PONY CANYON INC.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
